qc_id,id,fid,institutio,county,town,address,phone,manager,icon_url
"0","1","1",國立臺灣大學醫學院附設醫院竹東分院,新竹縣,竹東鎮,至善路52號,03-5943248,詹鼎正,./0.png
"1","2","2",臺北榮民總醫院新竹分院,新竹縣,竹東鎮,中豐路一段81號,"35962134",彭家勛,./0.png
"2","3","3",培靈醫療社團法人關西醫院,新竹縣,關西鎮,石門33-1號,"35476399",顧毓琦,./0.png
"3","4","4",東元醫療社團法人東元綜合醫院,新竹縣,竹北市,縣政二路69號(竹北市光明九路9-1號牙科.精神科門診部),03-5527000,黃忠山,./0.png
"4","5","5",天主教仁慈醫療財團法人仁慈醫院,新竹縣,湖口鄉,忠孝路29號,03 5993500,張達人,./0.png
"5","6","6",中國醫藥大學新竹附設醫院,新竹縣,竹北市,興隆路一段199號,,陳自諒,./0.png
"6","7","7",林醫院,新竹縣,竹東鎮,東林路76號,"35962316",林鴻堂,./0.png
"7","8","8",竹信醫院,新竹縣,竹東鎮,仁愛路一九六號,"35962998",薛宏年,./0.png
"8","9","9",大安醫院,新竹縣,竹北市,博愛街318巷6號,03-5557188,鄭輔民,./0.png
"9","10","10",新仁醫院,新竹縣,竹北市,博愛街331號,03-5552039,吳政哲,./0.png
